,Pays,PIB/habitant US$,Import Poulet en valeur 1000 US$,Élevage Poulet 1000 têtes,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),%Protéines animale/protéines totales,%Evolution Population 2012/2013,cluster
0,Albanie,10492.7,5821.0,8928.0,6381.0,222.79000000000002,163.3,0.35,0
1,Algérie,13322.6,22905.0,130000.0,6589.0,183.88000000000002,51.05,1.89,0
2,Allemagne,42914.5,173124.0,160774.0,7001.0,202.98000000000005,103.48,-0.09,3
3,Arabie saoudite,49359.5,26985.0,181500.0,6511.0,183.22000000000003,59.63,1.91,3
4,Argentine,19637.8,10923.0,107000.0,6455.0,205.23000000000008,108.86,0.87,0
5,Australie,43218.3,0.0,98653.0,6553.0,212.55,389.59,1.27,3
6,Autriche,44301.1,27464.0,16300.0,7538.0,212.41,161.74,0.37,3
7,Belgique,41014.0,334425.0,36219.0,7470.0,198.97000000000003,86.85,0.4,3
8,Bosnie-Herzégovine,10466.1,1840.0,24505.0,6310.0,183.13000000000002,42.42,-0.13,0
9,Brésil,15535.6,2071.0,1246638.0,6525.0,190.0,121.33,0.86,0
10,Bélarus,17644.9,18650.0,39200.0,6498.0,187.60000000000008,97.38,-0.51,0
11,Canada,42362.4,38152.0,166500.0,6993.0,210.01000000000008,144.02,0.99,3
12,Chine,12175.2,76306.0,4835178.0,6220.0,196.09000000000003,95.84,0.61,1
13,Cuba,17028.557575757583,0.0,32416.0,6810.0,181.72000000000006,87.72,-0.04,0
14,Danemark,44564.5,16446.0,18981.0,6733.0,217.63000000000005,114.16,0.38,3
15,Espagne,30678.9,41540.0,138000.0,6348.0,209.64000000000004,161.27,0.37,0
16,Estonie,26282.9,591.0,2097.0,6501.0,207.55,101.23,-0.31,0
17,Finlande,39428.3,1426.0,6861.0,6734.0,235.28000000000003,173.2,0.33,3
18,Fédération de Russie,25551.1,52283.0,446789.0,6720.0,205.64999999999998,82.25,-0.23,0
19,Grèce,23746.1,5986.0,30324.0,6794.0,217.45000000000002,212.16,0.03,0
20,Irlande,45190.0,8548.0,15000.0,7201.0,219.91999999999996,199.29,1.11,3
21,Islande,42372.0,0.0,217.0,6760.0,266.59999999999997,288.17,1.23,3
22,Israël,31324.9,5005.0,40179.0,7220.0,256.15,234.78,1.16,3
23,Italie,34219.8,14305.0,136000.0,7156.0,216.98999999999995,261.79,0.17,3
24,Kazakhstan,22972.4,7923.0,32419.0,6526.0,192.75999999999996,118.95,1.04,0
25,Koweït,75597.3,5050.0,43960.0,7000.0,216.39,391.77,3.66,3
26,Lettonie,21563.7,1849.0,4911.0,6347.0,182.73000000000002,73.0,-0.49,0
27,Lituanie,25143.9,4843.0,8813.0,6831.0,248.83999999999992,151.0,-0.36,0
28,Luxembourg,90656.4,850.0,111.0,7079.0,227.51999999999998,184.05,1.15,3
29,Maldives,12573.0,14.0,0.0,5465.0,244.75,216.67,2.07,0
30,Malte,29998.9,95.0,918.0,6752.0,220.66000000000003,122.16,0.23,0
31,Maroc,7018.2,14203.0,185000.0,6804.0,195.81,151.45,1.5,0
32,Monténégro,14551.4,1014.0,620.0,6981.0,223.97000000000003,141.47,0.0,0
33,Norvège,62896.3,433.0,15975.0,6969.0,221.63,467.94,0.98,3
34,Nouvelle-Zélande,33876.1,0.0,19094.0,6273.0,184.92000000000002,318.26,1.03,0
35,Pays-Bas,45753.6,614024.0,97719.0,6450.0,223.19,762.61,0.27,2
36,Pologne,23555.5,83107.0,117054.0,6901.0,202.93,598.93,0.02,0
37,Polynésie française,17028.557575757583,509.0,305.0,5850.0,194.11999999999995,181.52,1.09,0
38,Portugal,25654.6,28027.0,10236.0,6949.0,221.73999999999998,186.54,0.04,0
39,Roumanie,19077.2,49244.0,80136.0,6718.0,206.03000000000003,163.81,-0.26,0
40,Royaume-Uni,37600.8,15009.0,152000.0,6849.0,206.35000000000002,112.72,0.56,3
41,République de Corée,32548.7,7434.0,151337.0,6667.0,192.32,198.92,0.53,0
42,Slovénie,27622.7,4718.0,3172.0,6336.0,192.20999999999998,53.7,0.19,0
43,Suisse,56535.7,2291.0,10003.0,6784.0,185.96999999999997,107.47,1.01,3
44,Suède,43522.4,4353.0,8582.0,6358.0,215.2,140.91,0.63,0
45,Tchéquie (la),28379.7,31275.0,22534.0,6511.0,174.88000000000005,128.67,0.39,0
46,Tunisie,10638.6,5192.0,88000.0,6697.0,197.06999999999996,178.46,1.12,0
47,Turquie,21610.5,18165.0,266153.0,7413.0,216.24,103.62,1.26,3
48,Ukraine,8338.9,64663.0,195256.0,6275.0,177.24999999999997,86.11,-0.64,0
49,Uruguay,19376.1,2134.0,20000.0,6103.0,184.77,152.96,0.35,0
50,Égypte,9971.0,421.0,140200.0,7040.0,206.45999999999998,65.2,1.65,0
51,Émirats arabes unis,60403.0,3037.0,21500.0,6555.0,209.14,142.22,1.52,3
52,États-Unis d'Amérique,51208.9,11616.0,1945900.0,7363.0,219.01000000000005,857.19,0.8,3
